Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0700,Forgot password,Reinstall the printer drivers.,56 minutes,Performance,Escalated,15,neutral
CONV-0701,Blue screen error,Reset your password using the link provided.,64 minutes,Software,Resolved,8,negative
CONV-0702,Slow system performance,Reset your password using the link provided.,93 minutes,Hardware,Resolved after follow-up,59,neutral
CONV-0703,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,77 minutes,Performance,Resolved,23,neutral
CONV-0704,Unable to access email,Run a system diagnostic tool.,30 minutes,Performance,Resolved,43,neutral
CONV-0705,Printer not responding,Restart your router.,115 minutes,Hardware,Resolved,58,neutral
CONV-0706,Software installation failure,Follow the software installation guide.,65 minutes,Software,Pending,10,negative
CONV-0707,Blue screen error,Restart your router.,46 minutes,Hardware,Pending,58,negative
CONV-0708,Printer not responding,Reinstall the printer drivers.,80 minutes,Software,Resolved after follow-up,5,neutral
CONV-0709,Printer not responding,Restart your router.,28 minutes,Hardware,Escalated,54,neutral
CONV-0710,Unable to access email,Restart your router.,118 minutes,Hardware,Resolved after follow-up,56,neutral
CONV-0711,Slow system performance,Follow the software installation guide.,54 minutes,Software,Resolved after follow-up,4,neutral
CONV-0712,Unable to access email,Follow the software installation guide.,102 minutes,Software,Resolved after follow-up,9,neutral
CONV-0713,Cannot connect to Wi-Fi,Reinstall the printer drivers.,32 minutes,Performance,Resolved after follow-up,29,neutral
CONV-0714,Cannot connect to Wi-Fi,Reset your password using the link provided.,45 minutes,Account,Resolved after follow-up,11,neutral
CONV-0715,Slow system performance,Run a system diagnostic tool.,12 minutes,Performance,Resolved after follow-up,36,neutral
CONV-0716,Cannot connect to Wi-Fi,Restart your router.,68 minutes,Software,Pending,13,neutral
CONV-0717,Blue screen error,Run a system diagnostic tool.,6 minutes,Account,Pending,15,negative
CONV-0718,Unable to access email,Restart your router.,98 minutes,Network,Resolved after follow-up,5,neutral
CONV-0719,Slow system performance,Follow the software installation guide.,118 minutes,Account,Resolved after follow-up,10,neutral
CONV-0720,Blue screen error,Restart your router.,53 minutes,Software,Escalated,2,negative
CONV-0721,Cannot connect to Wi-Fi,Run a system diagnostic tool.,102 minutes,Software,Escalated,14,neutral
CONV-0722,Forgot password,Follow the software installation guide.,44 minutes,Account,Escalated,15,neutral
CONV-0723,Printer not responding,Run a system diagnostic tool.,37 minutes,Software,Resolved after follow-up,8,neutral
CONV-0724,Blue screen error,Verify your email settings.,7 minutes,Account,Escalated,15,negative
CONV-0725,Cannot connect to Wi-Fi,Follow the software installation guide.,92 minutes,Hardware,Escalated,50,neutral
CONV-0726,Cannot connect to Wi-Fi,Reinstall the printer drivers.,39 minutes,Software,Resolved,4,neutral
CONV-0727,Printer not responding,Reset your password using the link provided.,73 minutes,Software,Pending,14,neutral
CONV-0728,Cannot connect to Wi-Fi,Verify your email settings.,28 minutes,Software,Resolved after follow-up,10,neutral
CONV-0729,Unable to access email,Verify your email settings.,119 minutes,Hardware,Resolved,56,neutral
CONV-0730,Forgot password,Run a system diagnostic tool.,55 minutes,Performance,Resolved after follow-up,24,neutral
CONV-0731,Cannot connect to Wi-Fi,Verify your email settings.,81 minutes,Network,Resolved after follow-up,11,neutral
CONV-0732,Cannot connect to Wi-Fi,Run a system diagnostic tool.,103 minutes,Performance,Pending,38,neutral
CONV-0733,Software installation failure,Clear cache and remove unnecessary programs.,60 minutes,Account,Pending,11,negative
CONV-0734,Forgot password,Clear cache and remove unnecessary programs.,37 minutes,Hardware,Pending,55,neutral
CONV-0735,Forgot password,Reinstall the printer drivers.,85 minutes,Hardware,Escalated,20,neutral
CONV-0736,Printer not responding,Clear cache and remove unnecessary programs.,87 minutes,Hardware,Escalated,57,neutral
CONV-0737,Printer not responding,Clear cache and remove unnecessary programs.,90 minutes,Software,Resolved,4,neutral
CONV-0738,Slow system performance,Follow the software installation guide.,109 minutes,Software,Pending,6,neutral
CONV-0739,Printer not responding,Reset your password using the link provided.,93 minutes,Performance,Resolved after follow-up,19,neutral
CONV-0740,Forgot password,Run a system diagnostic tool.,60 minutes,Hardware,Resolved after follow-up,45,neutral
CONV-0741,Forgot password,Restart your router.,95 minutes,Account,Resolved after follow-up,11,neutral
CONV-0742,Slow system performance,Restart your router.,72 minutes,Account,Resolved,9,neutral
CONV-0743,Slow system performance,Run a system diagnostic tool.,86 minutes,Performance,Resolved,29,neutral
CONV-0744,Software installation failure,Verify your email settings.,90 minutes,Performance,Pending,38,negative
CONV-0745,Slow system performance,Run a system diagnostic tool.,62 minutes,Hardware,Resolved,43,neutral
CONV-0746,Printer not responding,Restart your router.,103 minutes,Hardware,Pending,30,neutral
CONV-0747,Software installation failure,Restart your router.,21 minutes,Hardware,Resolved after follow-up,58,negative
CONV-0748,Slow system performance,Follow the software installation guide.,54 minutes,Network,Pending,13,neutral
CONV-0749,Printer not responding,Reinstall the printer drivers.,99 minutes,Account,Pending,15,neutral
CONV-0750,Slow system performance,Verify your email settings.,119 minutes,Software,Pending,14,neutral
CONV-0751,Blue screen error,Restart your router.,120 minutes,Account,Escalated,18,negative
CONV-0752,Unable to access email,Verify your email settings.,103 minutes,Network,Escalated,28,neutral
CONV-0753,Forgot password,Verify your email settings.,102 minutes,Account,Pending,9,neutral
CONV-0754,Slow system performance,Reset your password using the link provided.,100 minutes,Performance,Pending,23,neutral
CONV-0755,Cannot connect to Wi-Fi,Verify your email settings.,49 minutes,Account,Resolved,13,neutral
CONV-0756,Forgot password,Run a system diagnostic tool.,63 minutes,Software,Resolved,6,neutral
CONV-0757,Blue screen error,Run a system diagnostic tool.,66 minutes,Software,Escalated,10,negative
CONV-0758,Forgot password,Reset your password using the link provided.,90 minutes,Account,Pending,19,neutral
CONV-0759,Cannot connect to Wi-Fi,Reinstall the printer drivers.,31 minutes,Software,Pending,11,neutral
CONV-0760,Blue screen error,Verify your email settings.,67 minutes,Performance,Escalated,16,negative
CONV-0761,Forgot password,Follow the software installation guide.,11 minutes,Network,Escalated,24,neutral
CONV-0762,Unable to access email,Run a system diagnostic tool.,103 minutes,Performance,Pending,10,neutral
CONV-0763,Forgot password,Reset your password using the link provided.,43 minutes,Hardware,Escalated,21,neutral
CONV-0764,Blue screen error,Reset your password using the link provided.,9 minutes,Hardware,Escalated,16,negative
CONV-0765,Software installation failure,Clear cache and remove unnecessary programs.,71 minutes,Software,Pending,13,negative
CONV-0766,Software installation failure,Follow the software installation guide.,95 minutes,Performance,Pending,15,negative
CONV-0767,Forgot password,Restart your router.,35 minutes,Account,Pending,9,neutral
CONV-0768,Unable to access email,Verify your email settings.,97 minutes,Hardware,Pending,38,neutral
CONV-0769,Forgot password,Reinstall the printer drivers.,37 minutes,Performance,Escalated,20,neutral
CONV-0770,Unable to access email,Follow the software installation guide.,104 minutes,Account,Resolved,7,neutral
CONV-0771,Software installation failure,Verify your email settings.,40 minutes,Hardware,Resolved,43,negative
CONV-0772,Blue screen error,Clear cache and remove unnecessary programs.,90 minutes,Network,Escalated,28,negative
CONV-0773,Printer not responding,Restart your router.,103 minutes,Account,Resolved after follow-up,19,neutral
CONV-0774,Slow system performance,Reinstall the printer drivers.,35 minutes,Account,Resolved,12,neutral
CONV-0775,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,114 minutes,Software,Resolved,8,neutral
CONV-0776,Slow system performance,Restart your router.,38 minutes,Performance,Resolved after follow-up,41,neutral
CONV-0777,Software installation failure,Reset your password using the link provided.,59 minutes,Account,Resolved,14,negative
CONV-0778,Slow system performance,Clear cache and remove unnecessary programs.,19 minutes,Hardware,Resolved,50,neutral
CONV-0779,Cannot connect to Wi-Fi,Reinstall the printer drivers.,99 minutes,Performance,Escalated,33,neutral
CONV-0780,Cannot connect to Wi-Fi,Restart your router.,30 minutes,Network,Escalated,8,neutral
CONV-0781,Cannot connect to Wi-Fi,Follow the software installation guide.,19 minutes,Performance,Escalated,36,neutral
CONV-0782,Forgot password,Follow the software installation guide.,74 minutes,Performance,Escalated,31,neutral
CONV-0783,Blue screen error,Reinstall the printer drivers.,72 minutes,Hardware,Escalated,29,negative
CONV-0784,Software installation failure,Restart your router.,73 minutes,Hardware,Resolved after follow-up,35,negative
CONV-0785,Software installation failure,Run a system diagnostic tool.,35 minutes,Hardware,Resolved after follow-up,10,negative
CONV-0786,Printer not responding,Verify your email settings.,70 minutes,Account,Pending,8,neutral
CONV-0787,Cannot connect to Wi-Fi,Restart your router.,86 minutes,Software,Resolved,12,neutral
CONV-0788,Slow system performance,Restart your router.,109 minutes,Performance,Pending,30,neutral
CONV-0789,Printer not responding,Follow the software installation guide.,101 minutes,Performance,Pending,39,neutral
CONV-0790,Unable to access email,Run a system diagnostic tool.,17 minutes,Account,Pending,11,neutral
CONV-0791,Blue screen error,Follow the software installation guide.,106 minutes,Performance,Escalated,15,negative
CONV-0792,Forgot password,Restart your router.,22 minutes,Account,Pending,9,neutral
CONV-0793,Slow system performance,Follow the software installation guide.,96 minutes,Network,Pending,15,neutral
CONV-0794,Software installation failure,Clear cache and remove unnecessary programs.,74 minutes,Account,Resolved after follow-up,9,negative
CONV-0795,Slow system performance,Restart your router.,69 minutes,Performance,Escalated,18,neutral
CONV-0796,Slow system performance,Run a system diagnostic tool.,120 minutes,Network,Resolved after follow-up,15,neutral
CONV-0797,Software installation failure,Verify your email settings.,7 minutes,Network,Pending,18,negative
CONV-0798,Forgot password,Run a system diagnostic tool.,70 minutes,Account,Resolved,13,neutral
CONV-0799,Slow system performance,Follow the software installation guide.,93 minutes,Network,Resolved after follow-up,14,neutral
CONV-0800,Forgot password,Clear cache and remove unnecessary programs.,15 minutes,Software,Resolved after follow-up,14,neutral
CONV-0801,Software installation failure,Verify your email settings.,18 minutes,Performance,Escalated,14,negative
CONV-0802,Unable to access email,Reinstall the printer drivers.,102 minutes,Network,Resolved,26,neutral
CONV-0803,Unable to access email,Run a system diagnostic tool.,60 minutes,Hardware,Resolved,59,neutral
CONV-0804,Printer not responding,Run a system diagnostic tool.,116 minutes,Performance,Resolved after follow-up,30,neutral
CONV-0805,Slow system performance,Clear cache and remove unnecessary programs.,23 minutes,Performance,Pending,20,neutral
CONV-0806,Cannot connect to Wi-Fi,Reset your password using the link provided.,53 minutes,Hardware,Pending,10,neutral
CONV-0807,Unable to access email,Verify your email settings.,94 minutes,Account,Resolved,9,neutral
CONV-0808,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,119 minutes,Network,Resolved after follow-up,11,neutral
CONV-0809,Cannot connect to Wi-Fi,Follow the software installation guide.,7 minutes,Network,Resolved,13,neutral
CONV-0810,Forgot password,Reset your password using the link provided.,13 minutes,Account,Pending,10,neutral
CONV-0811,Software installation failure,Reinstall the printer drivers.,40 minutes,Software,Pending,8,negative
CONV-0812,Slow system performance,Reinstall the printer drivers.,50 minutes,Network,Escalated,18,neutral
CONV-0813,Cannot connect to Wi-Fi,Restart your router.,12 minutes,Software,Escalated,2,neutral
CONV-0814,Unable to access email,Clear cache and remove unnecessary programs.,104 minutes,Account,Escalated,10,neutral
CONV-0815,Unable to access email,Restart your router.,52 minutes,Software,Pending,10,neutral
